Main Category,Category,Status,Product,Reason for Decision
Kitchen Appliances,Coffee Maker,Approved,"<a href=""https://ratiocoffee.com/products/ratio-eight"" target=""_blank"" rel=""noopener noreferrer"">Ratio Eight</a>","Pure flavor, durable, non-toxic design"
Kitchen Appliances,Coffee Maker,Rejected,SMEG Drip Coffee Maker,"Failed safety criteria (plastic contact with hot water)"
Kitchen Appliances,Rice Cooker,Approved,"<a href=""https://cuchenusamall.com/products/6-cup-ih-dual-pressure-rice-cooker-crh-twk0640wus-copy"" target=""_blank"" rel=""noopener noreferrer"">Cuchen IH Dual Pressure CRP-TWK0640WUS</a>","Non-toxic precision cooking"
Kitchen Appliances,Rice Cooker,Rejected,Zojirushi Neuro Fuzzy,"Excellent performance but not non-toxic"
Pet Care,Cat Bowls,Approved,"<a href=""https://basisproducts.com"" target=""_blank"" rel=""noopener noreferrer"">Basis Products Stainless Steel Cat Bowls</a>","Non-toxic, dishwasher-safe, durable"
Home Goods,"Dinnerware (Plates, Bowls, Cups)",Approved,"<a href=""https://eastfork.com"" target=""_blank"" rel=""noopener noreferrer"">East Fork Pottery</a>","Artisan, durable, non-toxic glazes"
Pet Care,Raw Food,Approved,"<a href=""https://ocraw.com/product/rabbit-produce/"" target=""_blank"" rel=""noopener noreferrer"">OC Raw Rabbit &amp; Produce</a>","Base diet staple"
Pet Care,Treats,Approved,"<a href=""https://greenjuju.com/products/rabbit-trainers"" target=""_blank"" rel=""noopener noreferrer"">Green Juju Rabbit Trainers</a>","High-value sensitive-tummy treat"
Pet Care,Hydration / Topper,Approved,"<a href=""https://smallbatchpets.com/bone-broth-frozen"" target=""_blank"" rel=""noopener noreferrer"">Smallbatch Pets Bone Broth</a>","Meal topper for hydration and digestion"
Pet Care,Hydration / Topper,Approved,"<a href=""https://www.thebonesandco.com/goat-milk"" target=""_blank"" rel=""noopener noreferrer"">Bones &amp; Co. Raw Goat Milk</a>","Hydration booster / topper"
Pet Care,Toys,Approved,"<a href=""https://lemonandlavendermadison.com/products/natural-rabbit-fur-rooster-feathers-cat-toys-spinners"" target=""_blank"" rel=""noopener noreferrer"">Lemon &amp; Lavender Rabbit Fur Spinner Cat Toy</a>","Favorite enrichment toy"
Cleaning,All-Purpose Cleaning,Approved,"<a href=""https://branchbasics.com"" target=""_blank"" rel=""noopener noreferrer"">Branch Basics (Dishwasher Tablets, Laundry Detergent, Multi-purpose Cleaner)</a>","Clean + simple system to reduce chemical load"
Oral Health,Floss,Approved,"<a href=""https://www.terraco.co"" target=""_blank"" rel=""noopener noreferrer"">Terra &amp; Co Floss</a>","Clean oral care without synthetic fibers"
Oral Health,Toothpaste,Approved,"<a href=""https://risewell.com"" target=""_blank"" rel=""noopener noreferrer"">RiseWell Toothpaste</a>","Supports remineralization without harsh ingredients"
Oral Health,Floss,Rejected,"<a href=""https://www.dentallace.com"" target=""_blank"" rel=""noopener noreferrer"">Dental Lace Synthetic Floss</a>","Contains synthetic plastic fibers"

